english,filipino,spanish,french,japanese,korean
House,Bahay,Casa,Maison,いえ (ie),집 (jip)
Door,Pinto,Puerta,Portes,ドア (doa),문 (mun)
Window,Bintana,Ventana,Fenêtre,まど (mado),창문 (changmun)
Chair,Upuan,Silla,Chaise,いす (isu),의자 (uija)
Table,Mesa,Mesa,Table,テーブル (teeburu),테이블 (teibeul)
Bed,Higaán,Cama,Lit,ベッド (beddo),침대 (chimdae)
Kitchen,Kusina,Cocina,Cuisine,キッチン (kicchin),부엌 (bueok)
Bathroom,Banyo,Baño,Salle de bain,トイレ (toire),화장실 (hwajangsil)
Living room,Sala,Sala,Salle de séjour,リビング (ribingu),거실 (geosil)
School,Paaralan,Escuela,École,がっこう (gakkou),학교 (hakgyo)
Teacher,Guro,Maestro,Professeur,せんせい (sensei),선생님 (seonsaengnim)
Student,Magtuturo/Estudyante,Estudiante,Étudiant,がくせい (gakusei),학생 (haksaeng)
Book,Aklat,Libro,Livre,ほん (hon),책 (chaek)
Pen,Papel/Panulat,Bolígrafo,Stylo,ペン (pen),펜 (pen)
Paper,Papel,Papel,Papier,かみ (kami),종이 (jong-i)
Computer,Kompyuter,Computadora,Ordinateur,コンピュータ (konpyuuta),컴퓨터 (keompyuteo)
Phone,Telepono,Teléfono,Téléphone,でんわ (denwa),전화 (jeonhwa)
Bag,Bag,Tarjeta/Bolsa,Besace,かばん (kaban),가방 (gabang)
Clock,Orasan,Reloj,HORLOGE,とけい (tokei),시계 (sigye)
Calendar,Kalendaryo,Calendario,Calendrier,カレンダー (karendaa),달력 (dallyeog)
Car,Sasakyan,Coche,Voiture,くるま (kuruma),자동차 (jadongcha)
Bicycle,Bisikleta,Bicicleta,Vélo,じてんしゃ (jitensha),자전거 (jajeongeo)
Bus,Bus,Autobús,Bus,バス (basu),버스 (beoseu)
Train,Tren,Tren,Train,れっしゃ (ressha),기차 (gicha)
Airport,Paliparan,Aeropuerto,Aéroport,くうこう (kuukou),공항 (gonghang)
Hotel,Hotel,Hotel,Hôtel,ホテル (hoteru),호텔 (hotel)
Store,Tindahan,Tienda,Boutique,みせ (mise),가게 (gage)
Market,Pamilihan,Mercado,Marché,いちば (ichiba),시장 (sijang)
Restaurant,Restawran,Restaurante,Restaurant,レストラン (resutoran),레스토랑 (reseutorang)
Water, Tubig,Agua,Eau,みず (mizu),물 (mul)
Food,Pagkain,Comida,Nourriture,たべもの (tabemono),음식 (eumsik)
Rice,Rice/Bigas,Arroz,Riz,ごはん (gohan),밥 (bap)
Bread,Kape/ Tinapay,PAN,Pain,パン (pan),빵 (ppang)
Fruit,Fruit,Fruta,Fruit,くだもの (kudamono),과일 (gwail)
Apple,Mansanas,Manzana,Pomme,りんご (ringo),사과 (sagwa)
Banana,Saging,Plátano,Banane,バナナ (banana),바나나 (banana)
Orange,Sweet Orange,Naranja,Orange,オレンジ (orenji),오렌지 (orenji)
Vegetable, Gulay,Verdura,Légume,やさい (yasai),야채 (yachae)
Meat,Karneng,Carne,Viande,にく (niku),고기 (gogi)
Chicken,Manok,Pollo,Poulet,にわとり (niwatori)/チキン (chikin),닭 (dak)
Fish,Isda,Pescado,Poisson,さかな (sakana),생선 (saengseon)
Egg,Itlog,Huevo,Œuf,たまご (tamago),달걀 (dalgyal)
Salt,Asin,Sal,Sel,しお (shio),소금 (sogeum)
Sugar,Asukal,Azúcar,Sucre,さとう (satou),설탕 (seoltang)
Milk,Gatas,Leche,Lait,ぎゅうにゅう (gyuunyuu),우유 (uyu)
Coffee,Kape,Café,Café,コーヒー (koohii),커피 (keopi)
Tea,Tsaa,Té,Thé,おちゃ (ocha),차 (cha)
Juice,Dalandan/Sariwang Inum, Jugo,Jus,ジュース (juusu),주스 (juseu)
Beer,Birra,Cerveza,Bière,ビール (biiru),맥주 (maekju)
Wine,Alak,Vino,Vin,ワイン (wain),와인 (wain)
Sugar,Asukal,Azúcar,Sucre,さとう (satou),설탕 (seoltang)
Salt,Asin,Sal,Sel,しお (shio),소금 (sogeum)
Butter,Mantequilla,Mantequilla,Beurre,バター (bataa),버터 (beoteo)
Cheese,Keso,Queso,Fromage,チーズ (chiizu),치즈 (chijeu)
Spoon,Kutsara,Cuchara,Cuillère,スプーン (supuun),숟가락 (sutgarak)
Fork,Tinidor,Tenedor,Fourchette,フォーク (fooku),포크 (pokeu)
Knife,Kutsilyo,Cuchillo,Couteau,ナイフ (naifu),칼 (kal)
Plate,Pinggan,Plato,Assiette,おさらに (osara),접시 (jeopsi)
Cup,Tasa,Taza,Tasse,カップ (kappu),컵 (keop)
Glass,Baso,Vaso,Verre,グラス (gurasu),유리잔 (yurijan)
Sugar,Asukal,Azúcar,Sucre,さとう (satou),설탕 (seoltang)
Hot,Mainit,Caliente,Chaud,あつい (atsui),뜨거운 (tteugeoun)
Cold,Malamig,Frío,Froid,つめたい (tsumetai),차가운 (chagaun)
Big,Malaki,Grande,Grand,おおきい (ookii),큰 (keun)
Small,Maliit,Pequeño,Petit,ちいさい (chiisai),작은 (jageun)
Fast,Mabilis,Rápido,Rapide,はやい (hayai),빠른 (bbareun)
Slow,Mabagal,Lento,Lent,おそい (osoi),느린 (neurin)
New,Bago,Nuevo,Nouveau,あたらしい (atarashii),새로운 (saeroun)
Old,Luma,Viejo,Vieux,ふるい (furui),오래된 (oraedoen)
Happy,Masaya,Feliz,Heureux,うれしい (ureshii),행복한 (haengbokhan)
Sad,Malungkot,Triste,Triste,かなしい (kanashii),슬픈 (seulpeun)
Angry,Naiinis,Enojado,En colère,おこっている (okotteiru),화난 (hwanan)
Love,Mahal,Mor,Amour,あい (ai),사랑 (sarang)
Friend,Kabigan,Amigo,Ami,ともだち (tomodachi),친구 (chingu)
Family,Pamilya,Familia,Famille,かぞく (kazoku),가족 (gajok)
Mother,Ina,Mamá,Mère,おかあさん (okaasan),어머니 (eomeoni)
Father,Ama,Papá,Père,おとうさん (otousan),아버지 (abeoji)
Brother,Kapatid na lalaki,Hermano,Frère,おにいさん (oniisan),형/남동생 (hyeong/namdongsaeng)
Sister,Kapatid na babae,Hermana,Sœur,おねえさん (oneesan),누나/여동생 (nuna/yeodongsaeng)
Son,Anak na lalaki,Hijo,Fils,むすこ (musuko),아들 (adeul)
Daughter,Anak na babae,Hija,Fille,むすめ (musume),딸 (ttal)
Doctor,Doktor,Médico,Médecin,いしゃ (isha),의사 (uisa)
Nurse,Nars,Nurse,Infirmière,かんごし (kangoshi),간호사 (ganhosa)
Police,Polis,Policía,Police,けいさつ (keisatsu),경찰 (gyeongchal)
Firefighter,Bumbero,Bombero,Pompier,しょうぼうし (shouboushi),소방관 (sobang-gwan)
Bank,Bangko,Banco,Banque,ぎんこう (ginkou),은행 (eunhaeng)
Money,Pera,Dinero,Argent,おかね (okane),돈 (don)
Ticket,Tiket,Boleto,Billet,きっぷ (kippu),표 (pyo)
Road,Daan,Camino,Route,みち (michi),도로 (doro)
Bridge,Tulay,Puente,Pont,はし (hashi),다리 (dari)
Church,Simbahan,Iglesia,Église,きょうかい (kyoukai),교회 (gyohoe)
Temple,Templo,Templo,Temple,てら (tera),절 (jeol)
Park,Parke,Parque,Parc,こうえん (kouen),공원 (gongwon)
Garden,Halaman,Jardín,Jardin,にわ (niwa),정원 (jeongwon)
Beach,Tabing-dagat,Playa,Plage,はま (hama),해변 (haebyeon)
Mountain,Bundok,Montaña,Montagne,やま (yama),산 (san)
River,Ilog,Río,Rivière,かわ (kawa),강 (gang)
Lake,Lawa,Lago,Lac,みずうみ (mizuumi),호수 (hosu)
Sun, Araw,Sol,Soleil,たいよう (taiyou),태양 (taeyang)
Moon,Buwan,Luna,Lune,つき (tsuki),달 (dal)
Star,Bituin,Estrella,Étoile,ほし (hoshi),별 (byeol)
Sky,Langit,Cielo,Ciel,そら (sora),하늘 (haneul)
Cloud,Ulap,Nube,Nuage,くも (kumo),구름 (gureum)
Rain,Ulan,Lluvia,Pluie,あめ (ame),비 (bi)
Snow,Niño,Nieve,Neige,ゆき (yuki),눈 (nun)
Wind,Hangin,Viento,Vent,かぜ (kaze),바람 (baram)
